FRAME,NAME,MASS,VELOCITY,ACCELERATION,POSITION
29,Mars,6.39e+23,(-6341.66,23254.3,0),(-0.00247944,-0.000648526,0),(2.1964e+11,5.9604e+10,0)
30,Sun,1.989e+30,(0.117705,0.0527655,0),(3.14883e-08,3.5433e-08,0),(170564,49509.6,0)
30,Mercury,3.285e+23,(-39312.2,-31279.2,0),(0.0265301,-0.0356476,0),(-3.60289e+10,4.11447e+10,0)
30,Venus,4.867e+24,(-26438.3,23525.9,0),(-0.00789668,-0.00846135,0),(7.07887e+10,8.03293e+10,0)
30,Earth,5.972e+24,(-14791.9,25997.9,0),(-0.0052464,-0.00287268,0),(1.29393e+11,7.3797e+10,0)
30,Mars,6.39e+23,(-6555.38,23196.3,0),(-0.00247367,-0.000671257,0),(2.19073e+11,6.16082e+10,0)
31,Sun,1.989e+30,(0.120323,0.055867,0),(3.03021e-08,3.58967e-08,0),(180960,54336.5,0)
31,Mercury,3.285e+23,(-36785.9,-34164.2,0),(0.0292398,-0.0333913,0),(-3.92072e+10,3.81929e+10,0)
31,Venus,4.867e+24,(-27099.8,22775.3,0),(-0.00765603,-0.00868804,0),(6.84472e+10,8.22971e+10,0)
31,Earth,5.972e+24,(-15241,25741.8,0),(-0.00519715,-0.00296404,0),(1.28076e+11,7.60211e+10,0)
31,Mars,6.39e+23,(-6768.59,23136.4,0),(-0.00246768,-0.00069394,0),(2.18489e+11,6.36071e+10,0)
32,Sun,1.989e+30,(0.12284,0.0590037,0),(2.91289e-08,3.63053e-08,0),(191573,59434.4,0)
32,Mercury,3.285e+23,(-34043.5,-36835.6,0),(0.0317406,-0.0309192,0),(-4.21486e+10,3.50103e+10,0)
32,Venus,4.867e+24,(-27739.9,22005.6,0),(-0.00740861,-0.00890786,0),(6.60505e+10,8.41984e+10,0)
32,Earth,5.972e+24,(-15685.6,25477.9,0),(-0.00514629,-0.00305458,0),(1.26721e+11,7.82224e+10,0)
32,Mars,6.39e+23,(-6981.26,23074.5,0),(-0.00246149,-0.000716572,0),(2.17885e+11,6.56008e+10,0)
33,Sun,1.989e+30,(0.125257,0.0621714,0),(2.79724e-08,3.66621e-08,0),(202396,64806,0)
33,Mercury,3.285e+23,(-31104.7,-39276.7,0),(0.034014,-0.0282532,0),(-4.4836e+10,3.16168e+10,0)
33,Venus,4.867e+24,(-28358.1,21217.6,0),(-0.00715462,-0.00912057,0),(6.36004e+10,8.60316e+10,0)
33,Earth,5.972e+24,(-16125.7,25206.2,0),(-0.00509382,-0.00314426,0),(1.25328e+11,8.04002e+10,0)
33,Mars,6.39e+23,(-7193.38,23010.6,0),(-0.0024551,-0.000739152,0),(2.17264e+11,6.75889e+10,0)
34,Sun,1.989e+30,(0.127575,0.0653656,0),(2.68355e-08,3.69701e-08,0),(213418,70453.6,0)
34,Mercury,3.285e+23,(-27990.4,-41472.8,0),(0.0360446,-0.0254172,0),(-4.72544e+10,2.80336e+10,0)
34,Venus,4.867e+24,(-28953.7,20411.9,0),(-0.00689427,-0.00932599,0),(6.10988e+10,8.77952e+10,0)
34,Earth,5.972e+24,(-16561.2,24926.9,0),(-0.00503977,-0.00323305,0),(1.23897e+11,8.25539e+10,0)
34,Mars,6.39e+23,(-7404.93,22944.8,0),(-0.00244849,-0.000761678,0),(2.16624e+11,6.95713e+10,0)
35,Sun,1.989e+30,(0.129798,0.0685825,0),(2.5721e-08,3.72331e-08,0),(224633,76379.1,0)
35,Mercury,3.285e+23,(-24722.8,-43411.3,0),(0.0378196,-0.0224362,0),(-4.93904e+10,2.42829e+10,0)
35,Venus,4.867e+24,(-29526.4,19589,0),(-0.00662778,-0.00952389,0),(5.85477e+10,8.94877e+10,0)
35,Earth,5.972e+24,(-16991.8,24640,0),(-0.00498413,-0.00332093,0),(1.22429e+11,8.46828e+10,0)
35,Mars,6.39e+23,(-7615.9,22877,0),(-0.00244168,-0.000784149,0),(2.15966e+11,7.15479e+10,0)
36,Sun,1.989e+30,(0.131926,0.0718186,0),(2.46311e-08,3.74547e-08,0),(236031,82584.2,0)
36,Mercury,3.285e+23,(-21324.7,-45081.9,0),(0.0393294,-0.0193362,0),(-5.12329e+10,2.03878e+10,0)
36,Venus,4.867e+24,(-30075.5,18749.7,0),(-0.00635536,-0.00971408,0),(5.59492e+10,9.11077e+10,0)
36,Earth,5.972e+24,(-17417.5,24345.5,0),(-0.00492694,-0.00340786,0),(1.20924e+11,8.67862e+10,0)
36,Mars,6.39e+23,(-7826.25,22807.3,0),(-0.00243467,-0.000806561,0),(2.1529e+11,7.35185e+10,0)
37,Sun,1.989e+30,(0.133962,0.0750706,0),(2.35674e-08,3.76388e-08,0),(247605,89070.3,0)
